DATE,RELEASE_STAGE,DIRECTOR_VERSION,CF_RELEASE_COMMIT_SHA,CF_DEPLOYMENT_STEMCELL,DIEGO_RELEASE_VERSION,DIEGO_RELEASE_COMMIT_SHA,DIEGO_DEPLOYMENT_STEMCELL
Wed May 13 17:44:01 UTC 2015,release_candidate,1.2859.0,7cf577b2,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1198.0,9fc29298,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 01:37:48 UTC 2015,release_candidate,1.2859.0,b0a57f87,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1198.0,9fc29298,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 02:53:44 UTC 2015,development,1.2891.0,84dc6921,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1204.0,11650c22,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 03:39:11 UTC 2015,release_candidate,1.2859.0,bbc29eb4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1204.0,11650c22,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 07:41:54 UTC 2015,release_candidate,1.2859.0,5cab8a61,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1204.0,11650c22,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 13:15:41 UTC 2015,development,1.2891.0,5cab8a61,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1206.0,76997625,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 13:39:35 UTC 2015,release_candidate,1.2859.0,5cab8a61,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1206.0,76997625,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 15:03:09 UTC 2015,development,1.2891.0,5cab8a61,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1208.0,cd49e2d1,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 15:26:43 UTC 2015,release_candidate,1.2859.0,5cab8a61,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1208.0,cd49e2d1,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 17:27:09 UTC 2015,development,1.2891.0,5cab8a61,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 17:54:05 UTC 2015,release_candidate,1.2859.0,5cab8a61,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 19:30:10 UTC 2015,development,1.2891.0,a78e960b,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 19:45:17 UTC 2015,release_candidate,1.2859.0,a78e960b,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 20:21:01 UTC 2015,development,1.2891.0,2e706e16,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Thu May 14 21:10:13 UTC 2015,development,1.2891.0,92604729,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Fri May 15 00:01:06 UTC 2015,development,1.2891.0,0c01ee4b,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Fri May 15 02:06:54 UTC 2015,release_candidate,1.2859.0,c3937f01,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
Fri May 15 19:27:30 UTC 2015,release_candidate,1.2859.0,35f75e02,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Fri May 15 20:17:58 UTC 2015,release_candidate,1.2859.0,8332eeab,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969,0.1209.0,652512a5,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Sun May 17 21:19:10 UTC 2015,development,1.2891.0,9927792c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,N/A,ff010c04,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Sun May 17 22:05:36 UTC 2015,development,1.2891.0,9927792c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,N/A,618ba390,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Mon May 18 16:10:15 UTC 2015,development,1.2891.0,9927792c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,N/A,618ba390,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Mon May 18 19:34:20 UTC 2015,development,1.2891.0,9927792c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,N/A,f28c053a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Tue May 19 18:36:53 UTC 2015,development,1.2891.0,89da1873,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,N/A,a7122ff2,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972
Wed May 20 03:11:40 UTC 2015,development,1.2891.0,ad33a66d,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,77d66687,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Wed May 20 04:12:44 UTC 2015,development,1.2891.0,ad33a66d,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,f1187b2d,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Wed May 20 05:23:41 UTC 2015,development,1.2891.0,0cbf6910,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,f1187b2d,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Wed May 20 19:06:23 UTC 2015,development,1.2891.0,0cbf6910,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,2b1a720a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Wed May 20 21:18:03 UTC 2015,development,1.2891.0,7772ef42,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,2b1a720a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Thu May 21 03:00:59 UTC 2015,development,1.2891.0,0425ce46,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975,N/A,1f0884a2,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2975
Thu May 21 09:08:26 UTC 2015,development,1.2891.0,0425ce46,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976,N/A,1f0884a2,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 17:21:01 UTC 2015,development,1.2891.0,0425ce46,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976,N/A,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 18:24:10 UTC 2015,release_candidate,1.2859.0,0fd4ca32,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1241.0,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 18:36:43 UTC 2015,development,1.2891.0,0fd4ca32,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976,N/A,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 18:55:21 UTC 2015,release_candidate,1.2859.0,0fd4ca32,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1241.0,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 19:59:18 UTC 2015,release_candidate,1.2859.0,f121b398,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1241.0,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 22:59:59 UTC 2015,development,1.2891.0,f121b398,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976,N/A,f30e6868,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 23:14:53 UTC 2015,release_candidate,1.2859.0,a3011e11,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1241.0,c1a2de82,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Thu May 21 23:38:42 UTC 2015,release_candidate,1.2859.0,a3011e11,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1242.0,f30e6868,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
Fri May 22 01:27:10 UTC 2015,release_candidate,1.2859.0,907f2bfe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2972,0.1242.0,f30e6868,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2976
